"NAME","PARENT","GRAPH_TYPE","GOD_ONLY","IS_TITLE","IS_PROFESSION","IS_HIDDEN","MONEY_REQUIRED","POINTS_REQUIRED","SKILLS_REQUIRED_COUNT","SKILLS_REQUIRED","PRECLUSION_SKILLS","XP_TYPE","XP_COST","XP_CAP","MISSIONS_REQUIRED","APPRENTICESHIPS_REQUIRED","STATS_REQUIRED","SPECIES_REQUIRED","JEDI_STATE_REQUIRED","SKILL_ABILITY","COMMANDS","SKILL_MODS","SCHEMATICS_GRANTED","SCHEMATICS_REVOKED","SEARCHABLE","ENDER"
"s","s","e(oneByFour=1,twoByFour=2,threeByFour=3,fourByFour=4,pyramid=5)[fourByFour]","b","b","b","b","i","i","i[0]","s","s","s","i","i","s","i","s","s","e(none=0,forceSensitive=1,jedi=2,forceRankedLight=4,forceRankedDark=8)[none]","s","s","s","s","s","b[1]","i"
"combat_melee_basic","",fourByFour,false,false,false,false,0,0,0,"","","",0,0,"",0,"","",none,"","","","","",true,0
"combat_ranged_weapons_basic","",fourByFour,false,false,false,false,0,0,0,"","","",0,0,"",0,"","",none,"","","","","",true,0
"demo_combat","",fourByFour,false,false,false,false,0,0,0,"","","",0,0,"",0,"","",none,"","","","","",true,0
"common_knowledge","",fourByFour,false,false,false,false,0,0,0,"","","",0,0,"",0,"","",none,"","","","","",true,0
"utility","",fourByFour,true,false,false,false,0,0,0,"","","",0,0,"",0,"","",none,"","","","","",true,0
"utility_beta","utility",fourByFour,true,false,false,false,0,0,0,"","","",0,0,"",0,"","",none,"","","","","",true,0
"utility_beta_demo_combat","utility_beta",fourByFour,true,false,false,false,0,0,0,"","","",0,0,"",0,"","",none,"","","","","",true,0
"utility_player","utility",fourByFour,true,false,false,false,0,0,0,"","","",0,0,"",0,"","",none,"","","","","",true,0
"social","",fourByFour,true,false,false,false,0,0,0,"","","",0,0,"",0,"","",none,"","","","","",true,0
"social_entertainer","social",fourByFour,false,false,true,false,0,0,0,"","","",0,0,"",0,"","",none,"","","","","",true,0
"social_entertainer_novice","social_entertainer",fourByFour,false,true,false,false,100,15,0,"","","",0,0,"",0,"","",none,"","private_entertainer_novice,musician,dancer,imagedesigner,startDance,stopDance,startMusic,stopMusic,flourish+1,flourish+2,flourish+3,flourish+4,flourish+5,flourish+6,flourish+7,flourish+8,startDance+basic,startDance+rhythmic,startMusic+starwars1,slitherhorn","healing_dance_wound=5,healing_music_wound=5,healing_music_ability=5,healing_dance_ability=5,hair=1,face=1","craftInstrumentGroupA","",true,0
"social_entertainer_master","social_entertainer",fourByFour,false,true,false,false,5000,6,0,"social_entertainer_hairstyle_04,social_entertainer_music_04,social_entertainer_dance_04,social_entertainer_healing_04","","",0,0,"",0,"","",none,"","private_entertainer_master,startDance+footloose2,startDance+formal2,startMusic+ceremonial,mandoviol","healing_dance_ability=10,healing_music_ability=10,healing_dance_wound=10,healing_music_wound=10","","",true,0
"social_entertainer_hairstyle_01","social_entertainer",fourByFour,false,false,false,false,1000,0,0,"social_entertainer_novice","","imagedesigner",1000,10000,"",0,"","",none,"","private_entertainer_hair_1","hair=1","","",true,0
"social_entertainer_hairstyle_02","social_entertainer_hairstyle_01",fourByFour,false,false,false,false,2000,0,0,"social_entertainer_hairstyle_01","","imagedesigner",5000,20000,"",0,"","",none,"","private_entertainer_hair_2","markings=1,face=1","","",true,0
"social_entertainer_hairstyle_03","social_entertainer_hairstyle_02",fourByFour,false,false,false,false,3000,0,0,"social_entertainer_hairstyle_02","","imagedesigner",10000,30000,"",0,"","",none,"","private_entertainer_hair_3","hair=1","","",true,0
"social_entertainer_hairstyle_04","social_entertainer_hairstyle_03",fourByFour,false,true,false,false,4000,0,0,"social_entertainer_hairstyle_03","","imagedesigner",15000,30000,"",0,"","",none,"","private_entertainer_hair_4","hair=1,face=1","","",true,0
"social_entertainer_music_01","social_entertainer",fourByFour,false,false,false,false,1000,2,0,"social_entertainer_novice","","music",1000,10000,"",0,"","",none,"","private_entertainer_music_1,startMusic+rock,fizz","healing_music_ability=5","","",true,0
"social_entertainer_music_02","social_entertainer_music_01",fourByFour,false,false,false,false,2000,3,0,"social_entertainer_music_01","","music",5000,30000,"",0,"","",none,"","private_entertainer_music_2,startMusic+starwars2","healing_music_ability=5","craftInstrumentGroupB","",true,0
"social_entertainer_music_03","social_entertainer_music_02",fourByFour,false,false,false,false,3000,4,0,"social_entertainer_music_02","","music",15000,90000,"",0,"","",none,"","private_entertainer_music_3,startMusic+folk,fanfar","healing_music_ability=5","","",true,0
"social_entertainer_music_04","social_entertainer_music_03",fourByFour,false,true,false,false,4000,5,0,"social_entertainer_music_03","","music",45000,150000,"",0,"","",none,"","private_entertainer_music_4,startMusic+starwars3,kloohorn","healing_music_ability=10","","",true,0
"social_entertainer_dance_01","social_entertainer",fourByFour,false,false,false,false,1000,2,0,"social_entertainer_novice","","dance",1000,10000,"",0,"","",none,"","private_entertainer_dance_1,startDance+basic2","healing_dance_ability=5","","",true,0
"social_entertainer_dance_02","social_entertainer_dance_01",fourByFour,false,false,false,false,2000,3,0,"social_entertainer_dance_01","","dance",5000,30000,"",0,"","",none,"","private_entertainer_dance_2,startDance+rhythmic2","healing_dance_ability=5","","",true,0
"social_entertainer_dance_03","social_entertainer_dance_02",fourByFour,false,false,false,false,3000,4,0,"social_entertainer_dance_02","","dance",15000,90000,"",0,"","",none,"","private_entertainer_dance_3,startDance+footloose","healing_dance_ability=5","","",true,0
"social_entertainer_dance_04","social_entertainer_dance_03",fourByFour,false,true,false,false,4000,5,0,"social_entertainer_dance_03","","dance",45000,150000,"",0,"","",none,"","private_entertainer_dance_4,startDance+formal","healing_dance_ability=10","","",true,0
"social_entertainer_healing_01","social_entertainer",fourByFour,false,false,false,false,1000,2,0,"social_entertainer_novice","","entertainer_healing",1000,10000,"",0,"","",none,"","private_entertainer_healing_1","healing_dance_wound=5,healing_music_wound=5","","",true,0
"social_entertainer_healing_02","social_entertainer_healing_01",fourByFour,false,false,false,false,2000,3,0,"social_entertainer_healing_01","","entertainer_healing",5000,20000,"",0,"","",none,"","private_entertainer_healing_2","healing_dance_wound=5,healing_music_wound=5","","",true,0
"social_entertainer_healing_03","social_entertainer_healing_02",fourByFour,false,false,false,false,3000,4,0,"social_entertainer_healing_02","","entertainer_healing",10000,50000,"",0,"","",none,"","private_entertainer_healing_3","healing_dance_wound=5,healing_music_wound=5","","",true,0
"social_entertainer_healing_04","social_entertainer_healing_03",fourByFour,false,true,false,false,4000,5,0,"social_entertainer_healing_03","","entertainer_healing",25000,75000,"",0,"","",none,"","private_entertainer_healing_4","healing_dance_wound=5,healing_music_wound=5","","",true,0
"outdoors","",fourByFour,true,false,false,false,0,0,0,"","","",0,0,"",0,"","",none,"","","","","",true,0
"outdoors_scout","outdoors",fourByFour,false,false,true,false,0,0,0,"","","",0,0,"",0,"","",none,"","","","","",true,0
"outdoors_scout_novice","outdoors_scout",fourByFour,false,true,false,false,100,15,0,"","","",0,0,"",0,"","",none,"","private_scout_novice,harvestCorpse","trapping=5,camp=5,creature_knowledge=5,creature_harvesting=15","craftScoutCampGroupA,craftScoutTrapGroupNovice","",true,0
"outdoors_scout_master","outdoors_scout",fourByFour,false,true,false,false,5000,6,0,"outdoors_scout_movement_04,outdoors_scout_tools_04,outdoors_scout_harvest_04,outdoors_scout_camp_04","","",0,0,"",0,"","",none,"","private_scout_master","slope_move=10,burst_run=10,camp=10,foraging=15,creature_knowledge=10,creature_harvesting=5,mask_scent=30,trapping=20,","","",true,0
